Coverage: 9.81%

LLVM-COV REPORT:
Filename                                                                  Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Users/administrator/Desktop/qt/C++/lab_05_14/func_data/func_main.cpp           30                 0   100.00%           3                 0   100.00%          32                 0   100.00%           4                 0   100.00%
Users/administrator/Desktop/qt/C++/lab_05_14/func_data/test.cpp                14                 5    64.29%          10                 3    70.00%          14                 3    78.57%           6                 5    16.67%
Users/administrator/Desktop/qt/C++/lab_05_14/func_data/testparser.cpp          25                14    44.00%           3                 0   100.00%          40                 6    85.00%          10                 3    70.00%
Users/administrator/Desktop/qt/C++/lab_05_14/qrc_image.cpp                      8                 4    50.00%           4                 2    50.00%          14                 7    50.00%           0                 0         -
Users/administrator/Desktop/qt/C++/lab_05_14/src/buttons.cpp                   47                28    40.43%           9                 7    22.22%         153                98    35.95%          28                17    39.29%
Users/administrator/Desktop/qt/C++/lab_05_14/src/color.cpp                      7                 7     0.00%           4                 4     0.00%          32                32     0.00%           2                 2     0.00%
Users/administrator/Desktop/qt/C++/lab_05_14/src/drawing.cpp                   48                26    45.83%           4                 1    75.00%          74                39    47.30%          30                18    40.00%
Users/administrator/Desktop/qt/C++/lab_05_14/src/fill.cpp                      63                20    68.25%          11                 2    81.82%         124                33    73.39%          40                14    65.00%
Users/administrator/Desktop/qt/C++/lab_05_14/src/mainwindow.cpp                49                25    48.98%           9                 2    77.78%         165                79    52.12%          34                24    29.41%
Users/administrator/Desktop/qt/C++/lab_05_14/src/menu.cpp                       6                 6     0.00%           3                 3     0.00%          16                16     0.00%           2                 2     0.00%
Users/administrator/Desktop/qt/C++/lab_05_14/src/requests.cpp                  18                 9    50.00%           5                 3    40.00%          50                30    40.00%          20                 7    65.00%
Users/administrator/Desktop/qt/C++/lab_05_14/src/table_widget.cpp              91                78    14.29%           7                 5    28.57%         152               123    19.08%          64                57    10.94%
opt/homebrew/lib/QtCore.framework/Headers/qabstractitemmodel.h                 49                49     0.00%          49                49     0.00%          75                75     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qalgorithms.h                        33                33     0.00%          30                30     0.00%         220               220     0.00%           2                 2     0.00%
opt/homebrew/lib/QtCore.framework/Headers/qanystringview.h                     73                55    24.66%          44                38    13.64%          90                69    23.33%          12                12     0.00%
opt/homebrew/lib/QtCore.framework/Headers/qarraydata.h                         28                10    64.29%          11                 3    72.73%          83                38    54.22%          10                 8    20.00%
opt/homebrew/lib/QtCore.framework/Headers/qarraydataops.h                     204               117    42.65%          20                 8    60.00%         229               118    48.47%         140               112    20.00%
opt/homebrew/lib/QtCore.framework/Headers/qarraydatapointer.h                 190                66    65.26%          36                10    72.22%         150                26    82.67%         128                71    44.53%
opt/homebrew/lib/QtCore.framework/Headers/qassert.h                             1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qatomic.h                             2                 0   100.00%           2                 0   100.00%           2                 0   100.00%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qatomic_cxx11.h                      10                 7    30.00%          10                 7    30.00%          22                13    40.91%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qbasicatomic.h                        7                 3    57.14%           7                 3    57.14%           7                 3    57.14%           0                 0         -
opt/homebrew/lib/QtCore.framework/Headers/qbindingstorage.h                     5                 5     0.00%           5                 5     0.00%          17                17     0.00%           0                 0         -
